FID,CellKey,RID,numPixels,avg_Band1
141,3-5,bio1_37.bil,14190,227.293376
142,28-15,bio1_37.bil,14177,55537.000000
143,3-4,bio1_37.bil,14190,232.284708
145,1-2,bio1_37.bil,14083,214.227721
146,5-28,bio1_37.bil,14048,55537.000000
147,13-11,bio1_37.bil,14163,50721.337217
148,4-26,bio1_37.bil,14048,55537.000000
149,23-3,bio1_37.bil,14159,55537.000000
150,13-9,bio1_37.bil,14163,55537.000000
151,16-22,bio1_37.bil,14048,205.951239
152,24-19,bio1_37.bil,14052,55537.000000
153,5-16,bio1_37.bil,14151,236.757402
156,16-3,bio1_37.bil,14155,55537.000000
157,29-7,bio1_37.bil,14074,55537.000000
158,5-25,bio1_37.bil,14048,55537.000000
159,4-1,bio1_37.bil,14072,209.470225
160,28-17,bio1_37.bil,14162,55537.000000
161,26-3,bio1_37.bil,14159,55537.000000
162,22-22,bio1_37.bil,14052,55537.000000
163,12-4,bio1_37.bil,14190,55537.000000
164,29-9,bio1_37.bil,13995,55537.000000
165,2-3,bio1_37.bil,14155,227.493253
166,29-29,bio1_37.bil,13686,55537.000000
167,23-5,bio1_37.bil,14194,55447.434268
168,11-7,bio1_37.bil,14190,55537.000000
169,10-14,bio1_37.bil,14173,15091.251958
170,29-3,bio1_37.bil,13990,55537.000000
171,11-27,bio1_37.bil,14048,55537.000000
172,7-17,bio1_37.bil,14159,22448.076277
174,28-0,bio1_37.bil,14219,55537.000000
175,11-13,bio1_37.bil,14173,55537.000000
176,14-6,bio1_37.bil,14190,55537.000000
177,2-18,bio1_37.bil,14048,172.756834
178,26-19,bio1_37.bil,14052,55537.000000
179,25-27,bio1_37.bil,14052,55537.000000
180,8-7,bio1_37.bil,14190,260.940592
181,11-26,bio1_37.bil,14048,55537.000000
182,7-2,bio1_37.bil,14048,209.185009
183,15-2,bio1_37.bil,14048,55537.000000
184,26-1,bio1_37.bil,14070,55537.000000
185,21-8,bio1_37.bil,14032,55537.000000
187,7-13,bio1_37.bil,14180,233.654937
188,7-24,bio1_37.bil,14048,55537.000000
189,27-27,bio1_37.bil,14052,55537.000000
190,5-4,bio1_37.bil,14190,197.156096
191,9-18,bio1_37.bil,14048,55537.000000
192,23-4,bio1_37.bil,14194,55537.000000
193,5-17,bio1_37.bil,14159,248.781340
194,12-29,bio1_37.bil,13835,55537.000000
195,15-1,bio1_37.bil,14066,55537.000000
196,0-21,bio1_37.bil,14232,219.654933
197,18-16,bio1_37.bil,14146,209.813092
198,26-10,bio1_37.bil,14167,55361.437425
199,20-6,bio1_37.bil,14194,55537.000000
200,4-18,bio1_37.bil,14048,244.009396
201,18-11,bio1_37.bil,14167,55537.000000
203,2-20,bio1_37.bil,14048,213.032175
204,5-26,bio1_37.bil,14048,55537.000000
205,27-4,bio1_37.bil,14194,55537.000000
207,18-15,bio1_37.bil,14177,241.694294
208,2-15,bio1_37.bil,14180,247.831171
209,21-13,bio1_37.bil,14177,55537.000000
210,1-12,bio1_37.bil,14216,216.439716
211,5-22,bio1_37.bil,14048,28074.633257
212,4-19,bio1_37.bil,14048,3092.278189
213,22-9,bio1_37.bil,14167,55537.000000
214,14-16,bio1_37.bil,14142,28470.698487
215,25-2,bio1_37.bil,14051,55537.000000
216,13-6,bio1_37.bil,14190,55537.000000
217,15-10,bio1_37.bil,14163,55537.000000
218,0-23,bio1_37.bil,14232,210.431773
219,25-25,bio1_37.bil,14052,55537.000000
220,27-3,bio1_37.bil,14159,55537.000000
221,12-3,bio1_37.bil,14155,55537.000000
222,23-15,bio1_37.bil,14177,55537.000000
223,16-5,bio1_37.bil,14190,55537.000000
224,9-19,bio1_37.bil,14048,55537.000000
225,8-2,bio1_37.bil,14048,248.373932
226,9-22,bio1_37.bil,14048,55537.000000
227,5-11,bio1_37.bil,14171,229.206760
228,8-20,bio1_37.bil,14048,55537.000000
229,23-24,bio1_37.bil,14052,55537.000000
230,16-18,bio1_37.bil,14048,211.465120
231,18-1,bio1_37.bil,14070,55537.000000
232,8-0,bio1_37.bil,14221,246.034175
233,6-24,bio1_37.bil,14048,55537.000000
234,25-22,bio1_37.bil,14052,55537.000000
235,8-24,bio1_37.bil,14048,55537.000000
236,17-2,bio1_37.bil,14051,55537.000000
237,28-8,bio1_37.bil,14032,55537.000000
238,26-2,bio1_37.bil,14051,55537.000000
239,23-22,bio1_37.bil,14052,55537.000000
240,23-18,bio1_37.bil,14052,55537.000000
241,2-22,bio1_37.bil,14048,242.581435
242,16-26,bio1_37.bil,14048,55537.000000
243,2-24,bio1_37.bil,14048,232.809439
244,15-7,bio1_37.bil,14190,55537.000000
245,12-22,bio1_37.bil,14048,55537.000000
246,3-19,bio1_37.bil,14048,225.526837
247,25-14,bio1_37.bil,14177,55537.000000
248,20-11,bio1_37.bil,14167,55537.000000
249,15-0,bio1_37.bil,14219,55537.000000
250,13-0,bio1_37.bil,14219,55537.000000
251,26-23,bio1_37.bil,14052,55537.000000
252,13-22,bio1_37.bil,14048,16980.018366
253,23-21,bio1_37.bil,14052,55537.000000
254,3-22,bio1_37.bil,14048,240.254271
255,2-8,bio1_37.bil,14040,228.306481
256,20-20,bio1_37.bil,14052,55537.000000
257,28-21,bio1_37.bil,14052,55537.000000
258,13-29,bio1_37.bil,13835,55537.000000
260,25-21,bio1_37.bil,14052,46133.826430
261,16-29,bio1_37.bil,13835,55537.000000
262,3-16,bio1_37.bil,14151,253.271076
263,18-23,bio1_37.bil,14052,55537.000000
264,4-6,bio1_37.bil,14190,217.571106
266,17-29,bio1_37.bil,13843,55537.000000
267,9-11,bio1_37.bil,14163,244.993434
268,6-11,bio1_37.bil,14171,243.127373
269,18-19,bio1_37.bil,14052,5110.247296
270,5-29,bio1_37.bil,13836,55537.000000
271,28-26,bio1_37.bil,14052,55537.000000
272,1-20,bio1_37.bil,14092,210.123120
273,0-14,bio1_37.bil,14336,233.464914
274,20-23,bio1_37.bil,14052,55537.000000
275,25-5,bio1_37.bil,14194,55529.211850
276,6-21,bio1_37.bil,14048,55537.000000
277,14-23,bio1_37.bil,14048,241.011817
278,7-7,bio1_37.bil,14190,248.347287
279,24-23,bio1_37.bil,14052,55537.000000
280,25-26,bio1_37.bil,14052,55537.000000
281,0-11,bio1_37.bil,14336,207.830706
282,21-7,bio1_37.bil,14194,55537.000000
283,21-10,bio1_37.bil,14167,55431.656737
284,16-9,bio1_37.bil,14163,54830.573254
285,24-22,bio1_37.bil,14052,55537.000000
286,20-17,bio1_37.bil,14162,55537.000000
287,23-27,bio1_37.bil,14052,55537.000000
288,26-26,bio1_37.bil,14052,55537.000000
289,25-8,bio1_37.bil,14032,55537.000000
290,19-27,bio1_37.bil,14052,55537.000000
291,9-12,bio1_37.bil,14173,254.422070
292,8-5,bio1_37.bil,14190,3747.257928
293,13-14,bio1_37.bil,14173,55537.000000
294,7-16,bio1_37.bil,14151,246.068546
295,20-24,bio1_37.bil,14052,55537.000000
296,25-7,bio1_37.bil,14194,55537.000000
297,11-10,bio1_37.bil,14163,55537.000000
298,19-23,bio1_37.bil,14052,55537.000000
299,10-4,bio1_37.bil,14190,55537.000000
300,10-5,bio1_37.bil,14190,55537.000000
301,2-14,bio1_37.bil,14180,228.054090
302,12-9,bio1_37.bil,14163,55537.000000
